Publisher,Dataset Count
World Flora Online,11
AgML (https://www.agml.org/),11
"IMR, Norway",11
German Guideline Program in Oncology,11
"ภาควิชาฟิสิกส์ มหาวิทยาลัยนเรศวร,",11
De klas op orde met VR,11
ICOS-ERIC - Carbon Portal,11
University of Arizona Press,11
"คณะศิลปศาสตร์ มหาวิทยาลัยอุบลราชธานี,",11
คณะศิลปกรรมศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,11
"Faculty of Medicine, Thammasat University,",11
"คณะวิทยาศาตร์และเทคโนโลยี มหาวิทยาลัยธรรมศาสตร์,",11
"ภาควิชาครุศาสตร์เกษตร สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,",11
คณะมนุษยศาสตร์และสังคมศาสตร์ มหาวิทยาลัยราชภัฏพระนคร,11
"Competence Centre for Thermal Energy Storage, Lucerne University of Applied Sciences and Arts, Horw, Switzerland",11
"ภาควิชาจุลชีววิทยา มหาวิทยาลัยมหิดล,",11
สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม ภาควิชาวิทยาศาสตร์สิ่งแวดล้อม มหาวิทยาลัยศิลปากร,11
สาขาวิชานิติวิทยาศาสตร์ มหาวิทยาลัยศิลปากร,11
National Institute for Public Health and the Environment,11
University of Sheffield,11
ONG Rêve développement,11
ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,11
คณะวิทยาศาสตร์ มหาวิทยาลัยมหิดล,11
West Wales Biodiversity Information Centre,11
Harrow Nature Conservation Forum,11
โรงเรียนเสนาธิการทหารบก,11
Italian Arctic Data Center,11
Central Queensland University,11
Smithsonian Research Online,11
"https://sead2.ncsa.illinois.edu/api/users/566aef07e4b06374fd3161fd, SEAD (http://sead-data.net)",11
ผู้ตีพิมพ์ 3,11
Federal Institute of Hydrology,11
"US Army Corps of Engineers, Savannah District",11
Spallation Neutron Source (SNS),11
Repositorio de datos - UTFSM,11
"วิทยาลัยพยาบาลบรมราชชนนีพุทธชินราช,",11
"วิทยาลัยพยาบาลบรมราชชนนีนครลำปาง,",11
Statistics South Africa,11
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,11
Museum für Naturkunde Berlin (MfN) - Leibniz Institute for Research on Evolution and Biodiversity,11
Malaya Sosva State Nature Reserve,11
University of Gothenburg: The Quality of Government Institute,11
University of Belize Environmental Research Institute,11
DOE Geothermal Data Repository; West Virginia University,11
Karlsruher Institut für Technologie;The Motor-Research-Data Project,11
Natural park «Numto»,11
คณะบริหารธุรกิจ เศรษฐศาสตร์และการสื่อสาร,11
Data for Children Collaborative with UNICEF and University of Edinburgh. School of Geosciences,11
"คณะมนุษยศาสตร์ มหาวิทยาลัยนเรศวร,",10
"คณะสถาปัตยกรรมศาสตร์ มหาวิทยาลัยเชียงใหม่,",10
"วิทยาลัยแพทยศาสตร์และการสาธารณสุข มหาวิทยาลัยอุบลราชธานี,",10
สาขาวิชานิเทศศาสตร์ มหาวิทยาลัยสุโขทัยธรรมาธิราช,10
"สถาบันวิจัยและฝึกอบรมการเกษตรลำปาง สถาบันเทคโนโลยีราชมงคล,",10
"สถาบันเทคโนโลยีราชมงคล วิทยาเขตภาคใต้,",10
"สถาบันเทคโนโลยีราชมงคล วิทยาเขตพิษณุโลก,",10
"สถาบันเทคโนโลยีราชมงคล วิทยาเขตสกลนคร,",10
"สถาบันเทคโนโลยีราชมงคล วิทยาเขตพณิชยการพระนคร,",10
"คณะวิศวกรรมและเทคโนโลยีการเกษตร สถาบันเทคโนโลยีราชมงคล,",10
National Biodiversity Centre,10
Moscow Pedagogical State University (MPSU).,10
University of Edinburgh. School of Physics and Astronomy. Institute of Condensed Matter and Complex Systems,10
DOE Geothermal Data Repository; Utah Geological Survey,10
University of Wisconsin - Madison,10
Steven Coats,10
"DOE Geothermal Data Repository; Lawrence Livermore National Laboratory (LLNL), Livermore, CA (United States)",10
"สถาบันราชภัฏลำปาง,",10
"ภาควิชาเทคโนโลยีอาหาร มหาวิทยาลัยขอนแก่น,",10
"ภาควิชาเคมีเทคนิค จุฬาลงกรณ์มหาวิทยาลัย,",10
Institute for Future Studies,10
"[สำนักงานกองทุนสนับสนุนการวิจัย],",10
Berkeley Natural History Museums,10
NaturRestaurering AS,10
"GLAMOS - Glacier Monitoring Switzerland; Laboratory of Hydraulics, Hydrology and Glaciology (VAW), ETH Zürich, Switzerland; Department of Geosciences, University of Fribourg, Switzerland; Department of Geography, University of Zürich, Switzerland",10
"Max Planck Institute for Biogeochemistry, Jena, Germany",10
National Academy of Sciences,10
Nightingale Open Science,10
University of Siegen,10
"Royal Museum for Central Africa, Belgium",10
Corpoboyacá - Corporación Autónoma Regional de Boyacá,10
"Jardín Botánico de Cartagena ""Guillermo Piñeres""",10
"Sistema de Colecciones Biológicas, Escuela de Biología, Universidad de San Carlos de Guatemala",10
"OLOS, OLOS",10
Northern Arizona University,10
University of Liège,10
HSSCommons,10
LatteData - CNPQ,10
University of Edinburgh. School of Engineering. Institute for Multiscale Thermofluids,10
University of Edinburgh. School of Biological Sciences. Institute of Ecology and Evolution,10
i-Read,10
Marine and Hydrokinetic Data Repository (MHKDR); CalWave Power Technologies Inc.,10
Museum of Vertebrate Zoology,10
Museum  Henri-Lecoq de Clermont-Ferrand,10
"IMP InterMediaPartners GmbH, Beyeroehde 14, 42389 Wuppertal",10
"ภาควิชาทันตวิทยา-พยาธิวิทยาช่องปาก มหาวิทยาลัยเชียงใหม่,",10
"Zoological Institute, Russian Academy of Sciences, St. Petersburg",10
"ภาควิชากิจกรรมบำบัด มหาวิทยาลัยเชียงใหม่,",10
INRA Antilles-Guyane,10
Seasearch,10
International Centre for Insect Physiology and Ecology,10
"Forest Research Institute, European Centre for Natural Forests",10
University of Malaga,10
New Brunswick Museum,10
Max Weber Stiftung,10
Jönköping University,10
Singapore Institute of Technology,10
River Corridor and Watershed Biogeochemistry SFA,10
Chornobyl Radiation and Ecological Biosphere Reserve,10
West-Ukrainian Ornithological Society,10
DYNALIT,10
Universidad Católica de Cuenca,10
Slovak Archive for Social Data (SASD),10
MURI/AUSMURI Project,10
Pangeanic - PangeaMT,10
John Wiley & Sons,10
Instituto Nacional de Biodiversidad,10
Defense Resiliency Platform Against Extreme Cold Weather,10
PLOS One,10
USDA Forest Service (FS),10
"ČSDA, Sociologický ústav Akademie věd ČR, v.v.i.",10
Rijksinstituut voor Volksgezondheid en Milieu,10
"Marine and Hydrokinetic Data Repository (MHKDR); Columbia Power Technologies, Inc.",10
Universidad de Zaragoza,10
aristotle-university-of-thessaloniki,10
GRIAL research group,10
ScienceDirect,10
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,10
"Motor Research Data Repository, Karlsruher Institute of Technology",10
BioComLab,10
"คณะสังคมศาสตร์ มหาวิทยาลัยเชียงใหม่,",10
Environmental System Science Data Infrastructure for a Virtual Ecosystem; Community Research on Climate and Urban Science Urban Integrated Field Laboratory (CROCUS UIFL),10
SOHO Science Archive at the European Space Astronomy Centre,10
"MFRI, Iceland",10
Malmö University,10
"Japan Aerospace Exploration Agency (JAXA), The University of Tokyo",10
University of Oregon Libraries,10
University of British Columbia Library. Data Services,10
California Department of Justice,10
EUMETSAT SAF on Land Surface Analysis,10
Uniwersytet SWPS,10
"ภาควิชาวิทยาศาสตร์ชีวภาพ มหาวิทยาลัยอุบลราชธานี,",10
คณะวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยราชภัฏสวนดุสิต,10
คณะศึกษาศาสตร์ มหาวิทยาลัยศิลปากร,10
Service Hydrographique et Océanographique de la Marine,10
"ภาควิชาภาษาและสังคม สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,",10
Mahido University,10
ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,10
Corporación para el desarrollo sostenible del área de manejo especial La Macarena - CORMACARENA,10
San Diego State University,10
USDA Forest Service,10
"ภาควิชาปฐพีวิทยา สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,",10
สถาบันค้นคว้าและพัฒนาผลิตผลทางการเกษตรและอุตสาหกรรมเกษตร มหาวิทยาลัยเกษตรศาสตร์,10
"สถาบันวิจัยทรัพยากรทางน้ำ จุฬาลงกรณ์มหาวิทยาลัย,",10
NCCWSC/CSC,10
Advanced Research Infrastructure for Materials and Nanotechnology in Japan,10
มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,10
Suan Dusit University,10
MSpace University of Manitoba Institutional Repository,10
Nikhef,10
สาขาวิชาภาษาไทย ภาควิชาภาษาไทย มหาวิทยาลัยศิลปากร,10
"Oak Ridge Leadership Computing Facility; Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (United States)",10
สำนักงานคณะกรรมการการอาชีวศึกษา,10
UniAndes,10
"ภาควิชาพืชสวน มหาวิทยาลัยแม่โจ้,",10
"Leibniz Centre for Agricultural Landscape Research (ZALF), Müncheberg (Germany)",10
สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง,10
"ภาควิชาเคมีอุตสาหกรรม สถาบันเทคโนโลยีพระจอมเกล้าพระนครเหนือ,",10
BIS for Powys & Brecon Beacons National Park,10
British Trust for Ornithology,10
Joint Nature Conservation Committee,10
Technical university of Liberec,10
Nikolai West,10
leeds,10
FieldData / Biological Data Recording System,10
"US Army Corps of Engineers, Huntington District",10
"สถาบันวิจัยอาหารสัตว์น้ำชายฝั่ง,",10
"สำนักพัฒนาและส่งเสริม กรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,",10
The Barbados Museum and Historical Society,10
kentaro okamoto,10
Agrav data base,10
Bohdan Khmelnytsky Melitopol State Pedagogical University,10
Redaktion des BUB - Berufsverband Information Bibliothek (BIB),10
UL Research Institutes,10
PNNL (PNNL2),10
Norwegian Social Science Data Service,10
คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล,10
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน วิทยาเขตสุรินทร์,10
คณะวิศวกรรมศาสตร์  มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,10
Helixworks Technologies,10
คณะประมง มหาวิทยาลัยเกษตรศาสตร์,10
กรมส่งเสริมการเกษตร,10
กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน,10
ภาควิชาชีววิทยาป่าไม้ คณะวนศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,10
คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,10
วิทยาลัยวิทยาการวิจัยและวิทยาการปัญญา มหาวิทยาลัยบูรพา,10
กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน กระทรวงพลังงาน,10
คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,10
มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตภูเก็ต,10
"University of New England, Australia",10
คณะวิศวกรรมศาสตร์  มหาวิทยาลัยธรรมศาสตร์,10
สำนักงานเศรษฐกิจการเกษตร,10
FluxNet; Michigan State University,10
FluxNet; ETH Zurich,10
สำนักงานตำรวจแห่งชาติ,10
CORPORACIÓN AUTÓNOMA REGIONAL DEL GUAVIO- CORPOGUAVIO,10
ZPID (Leibniz Institute for Psychology Information),10
"king Mongkut's University of Technology Thonburi,",10
สํานักงานเศรษฐกิจการเกษตร,10
หาวิทยาลัยขอนแก่น,10
BZGA - Federal Centre for Health Education,10
(Re)building a Kidney (www.rebuildingakidney.org),10
"ภาควิชาชีวเคมี มหาวิทยาลัยสงขลานครินทร์,",10
Geological survey of Denmark and Greenland (GEUS),10
Institute for Agricultural and Fisheries Research; Bio-Environmental Research Group,10
United Nations Industrial Development Organization (UNIDO),10
CRC/TRR228 Database (TRR228DB),10
DNV GL,10
Khon kaen University,10
PNDB Metacat PRODUCTION Node,10
"Department of Arctic and Marine Biology, UiT – The Arctic University of Norway",10
ASSET Research,10
"Data for Children Collaborative with UNICEF and University of Edinburgh, School of Geosciences",10
"ภาควิชาวิสัญญีวิทยา มหาวิทยาลัยเชียงใหม่,",9
"คณะวิทยาศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,",9
Arkeologikonsult,9
คณะพยาบาลศาสตร์ มหาวิทยาลัยเชียงใหม่,9
"คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,",9
"มหาวิทยาเกษตรศาสตร์,",9
"คณะบริหารธุรกิจ มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,",9
"มหาวิทยาลัยกรุงเทพ,",9
"คณะวิทยาการจัดการ มหาวิทยาลัยราชภัฏสวนดุสิต,",9
"สถาบันเทคโนโลยีราชมงคล วิทยาเขตขอนแก่น,",9
The University of Nottingham.,9
Icelandic Institute of Natural History,9
"Bundesanstalt für Arbeitsschutz und Arbeitsmedizin (BAuA), Berlin",9
สำนักการพิมพ์ สำนักงานเลขาธิการสภาผู้แทนราษฎร,9
Centre des Données astronomiques de Strasbourg,9
Laboratoire Interdisciplinaire Carnot de Bourgogne (UMR 6303),9
DOE Geothermal Data Repository; Oak Ridge National Laboratory,9
"Dipartimento di Biologia, Università di Pisa",9
Biodiversidata,9
IHU Méditerranée Infection,9
Dangermond Preserve Data Repository,9
etude-entrepot-national,9
Ministry of Science and Techonology,9
University of Huddersfield,9
Tecnológico de Antioquia,9
Universidad Austral de Chile,9
University of Edinburgh. Centre for Cardiovascular Science,9
"University of Gothenburg: The Quality of Government Institute, https://www.gu.se/en/quality-government",9
Universidad de Ciencias Aplicadas y Ambientales U.D.C.A,9
DOE Geothermal Data Repository; Utah State University,9
DOE Geothermal Data Repository; Oski Energy LLC,9
DOE Geothermal Data Repository; Hattenburg Dilley and Linnell,9
"สถาบันราชภัฏนครปฐม,",9
"สถาบันวิจัยวิทยาศาสตร์สุขภาพ มหาวิทยาลัยเชียงใหม่,",9
"ภาควิชาชีววิทยา มหาวิทยาลัยเชียงใหม่,",9
Norwegian Institute of Bioeconomy Research,9
"Museum of Comparative Zoology, Harvard University",9
SYKE,9
University of Tartu; Natural History Museum and Botanical Garden; Botanical and Mycological Museum,9
MOLA,9
The University of Edinburgh,9
William & Mary,9
IDOC,9
PADC/MASER,9
Bird Studies Canada,9
Área Metropolitana del Valle de Aburrá,9
NASA VIIRS Atmosphere SIPS,9
ARC Centre of Excellence for Australian Biodiversity and Heritage (CABAH); University of Wollongong,9
OstData,9
University of Oulu - Biodiversity Unit,9
Buildings Benchmark Data Platform; LBNL; NREL; ORNL; PNNL,9
Carbones del Cerrejón Limited,9
"Department of Biology, University of Copenhagen",9
Consejo Superior de Investigaciones Científicas (España),9
Taiwan Forestry Research Institute,9
ISTA,9
"Wegener Center for Climate and Global Change, University of Graz",9
DOE Geothermal Data Repository; University of Utah Seismograph Stations,9
Centre d'Etudes de Recherches et de Formation Forestières (CERF),9
Instituto de Biodiversidad de Ecosistemas Antárticos y Subantárticos (BASE),9
Sokolova M.V.,9
Next-Generation Ecosystem Experiments Tropics; Lawrence Berkeley National Laboratory,9
University of Victoria,9
Cheadle Center for Biodiversity and Ecological Restoration,9
"National Museum of Natural History and Science, University of Lisbon",9
Denver Museum of Nature & Science,9
Real Jardín Botánico (CSIC),9
Museum of Southwestern Biology,9
"ภาควิชาวิศวกรรมอุตสาหการ มหาวิทยาลัยเชียงใหม่,",9
Chicago Academy of Sciences,9
"คณะมนุษยศาสตร์ มหาวิทยาลัยเชียงใหม่,",9
Universidade de Caxias do Sul,9
Wildlife Institute of India,9
Jeju Folklore & Natural History Museum,9
Scottish Wildlife Trust,9
Outer Hebrides Biological Recording,9
Banc de dades de biodiversitat de Catalunya,9
"Instituto Nacional de Biodiversidad (INBio), Costa Rica",9
Dorset Environmental Records Centre,9
"University of Białystok, Institute of Biology",9
Alabama Museum of Natural History,9
Universidade de São Paulo,9
"Dep. of Plant Biology and Ecology, Univ. Seville",9
University of Nebraska State Museum,9
"ภาควิชาเทคโนโลยีธรณี มหาวิทยาลัยขอนแก่น,",9
Universidade Federal de Minas Gerais,9
"คณะอุตสาหกรรมเกษตร มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,",9
Kenneth S. Norris Center for Natural History,9
Federal State Autonomous Educational Institution of Higher Education «Ural Federal University named after the first President of Russia B.N.Yeltsin»,9
"Navantia, S.A.",9
Metropolia ammattikorkeakoulu,9
EUMETSAT SAF on Support to Operational Hydrology and Water Management,9
"Museo de Zoología, Universidad Técnica Particular de Loja",9
Eduard Klein,9
Service de la donnée et des études statistiques (SDES),9
Westfälische Wilhelms-Universität Münster,9
LLNL-IPO (LLNL Innovation and Partnerships Office (IPO)),9
Environmental System Science Data Infrastructure for a Virtual Ecosystem; Consequences of Plant Nutrient Uptake for Soil Carbon Stabilization,9
FIRN (Food Innovation and Regulation Network) ภายใต้สมาคมวิทยาศาสตร์และเทคโนโลยีทางอาหารแห่งประเทศไทย (FoSTAT),9
"Funk, Hermann",9
Institute of Organic Chemistry and Biochemistry of the CAS,9
SUNY Upstate Medical University,9
GBIF,9
FGBU GPZ Kologrivskij Les name after M.G. Sinicin,9
University of Liberia,9
Religionssociologiska institutet,9
Wiley-VCH,9
Arthur Korte,9
Queensland Health,9
Okavango Research Institute,9
"Astronomical Institute, University of Bern",9
arxiv,9
DOE Geothermal Data Repository; Pennsylvania State University,9
Royal College of Art,9
AmeriFlux; Michigan State University,9
Eurac Research - Institute for Earth Observation,9
The University of Texas at Austin,9
MAPPA Open Data Archaeological Archive,9
University of Calgary,9
"Natural History Museum, Tribhuvan University",9
National Research Council Canada,9
"ภาควิชาจุลชีววิทยา มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,",9
"คณะสัตวแพทยศาสตร์ มหาวิทยาลัยมหิดล,",9
"คณะอุตสาหกรรมเกษตร มหาวิทยาลัยสงขลานครินทร์,",9
"สาขาวิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยเทคโนโลยีสุรนารี,",9
Rijkswaterstaat,9
"สาขาวิชาเทคโนโลยีชีวภาพ มหาวิทยาลัยเทคโนโลยีสุรนารี,",9
"Institute of Mathematical Problems of Biology, Russian Academy of Sciences",9
Universidade Federal do Rio de Janeiro,9
Porvoo Museum,9
Nota Lepidopterologica,9
Stony Coral Tissue Loss Disease (SCTLD) Research Data Portal,9
Next-Generation Ecosystem Experiments Tropics; Oak Ridge National Laboratory,9
National Library of Estonia,9
Government of Canada; Environment and Climate Change Canada; Science and Technology Branch / Water Science and Technology Directorate / Watershed Hydrology and Ecology Research Division,9
Maryland Shared Open Access Repository,9
DOE Geothermal Data Repository; University of California,9
"คณะพลังงานและวัสดุ มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,",9
University of Tartu; Natural History Museum and Botanical Garden,9
"ภาควิชาวิศวกรรมโยธา มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,",9
Anderson Police Department,9
DOE Geothermal Data Repository; University of California Davis,9
คณะเกษตรศาสตร์ มหาวิทยาลัยขอนแก่น,9
มหาวิทยาลัยราชภัฏสงขลา,9
Viessmann Werke GmbH + Co KG,9
"ภาควิชาเทคนิคเกษตร สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,",9
Eur.Phys.J. C74 (2014) 3157,9
Eurofilters Holding N.V.,9
Texas Research Data Repository Dataverse,9
"http://cet.ncsa.uiuc.edu/2007/person/hsu.leslie@gmail.com, SEAD (http://sead-data.net)",9
"ภาควิชาฟิสิกส์ประยุกต์ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,",9
"ภาควิชาสถิติประยุกต์ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,",9
สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยเชียงใหม่,9
สถาบันวิจัยพฤติกรรมศาสตร์ มศว,9
สถาบันวิจัยและพัฒนาแห่งมหาวิทยาลัยเกษตรศาสตร์,9
"คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล,",9
"คณะสาธารณสุขศาสตร์ มหาวิทยาลัยมหิดล,",9
LIB Biodiversity Data Center,9
สาขาวิชาวิทยาการและวิศวกรรมพอลิเมอร์ ภาควิชาวิทยาการและวิศวกรรมวัสดุ มหาวิทยาลัยศิลปากร,9
สาขาวิชาประวัติศาสตร์ศึกษา ภาควิชาประวัติศาสตร์ มหาวิทยาลัยศิลปากร,9
มหาวิทยาลัยราชภัฏสุรินทร์,9
สาขาวิชาการบริหารการศึกษา ภาควิชาการบริหารการศึกษา มหาวิทยาลัยศิลปากร,9
Curious Minds,9
Universidade Federal de Goi��s,9
Drägerwerk AG + Co. KGaA,9
Institut de Recherche Agronomique de Guinée (IRAG),9
"ภาควิชาเทคโนโลยีทางสัตว์ มหาวิทยาลัยแม่โจ้,",9
"ภาควิชาวิศวกรรมเครื่องกล สถาบันเทคโนโลยีพระจอมเกล้าพระนครเหนือ,",9
Conchological Society of Great Britain & Ireland,9
Kent & Medway Biological Records Centre,9
"มหาวิทยาลัยมหามกุฏราชวิทยาลัย,",9
"มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา วิทยาเขตพิษณุโลก,",9
Institut universitaire de médecine sociale et préventive (IUMSP),9
mediaTUM - Dokumenten- und Publikationsserver der Technischen Universität München,9
Caltech,9
"คณะวิทยาศาสตร์ มหาวิทยาลัยราชภัฏจันทรเกษม,",9
refodat - Repositorium für Forschungsdaten in Thüringen,9
University of Nebraska–Lincoln,9
"Rio de Janeiro: IVIDES DATA, 2025",9
Addis Ababa University,9
Marine Scotland,9
Simulation Data Lake,9
Tugdual Kerjan,9
Corporación Autónoma Regional de las cuencas de los ríos Negro y Nare - CORNARE,9
Citrine Informatics,9
มหาวิทยาลัยราชภัฎสวนสุนันทา,9
Spine biomechanics RUSH,9
Forestry Development Authority,9
Coherent X-ray Imaging Data Bank (Lawrence Berkeley National Laboratory); Korea University,9
DataDOI,9
University of Rostock Rostock,9
Institute of Jamaica,9
"TBfree New Zealand, Wellington, NZ",9
"Ilmen State Nature Reserve, Ural Branch of the Russian Academy of Science",9
Vestnik of Moscow Goryachkin Agroengineering University,9
State Nature Reserve Nurgush,9
Laboratoire des Physique des Oceans,9
DEEDShub,9
Chulalongkorn,9
"คณะเกษตรศาสตร์ทรัพยากรธรรมชาติ และสิ่งแวดล้อม มหาวิทยาลัยนเรศวร,",8
"สำนักงานอธิการบดี มหาวิทยาลัยรามคำแหง,",8
"คณะศิลปศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,",8
"มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ วิทยาเขตนนทบุรี,",8
ark:/13030/j2b564kf,8
DOE Geothermal Data Repository; University of Nevada Reno,8
Pfizer,8
Institute of Ecology of the Volga river basin of Russian Academie of Sciences,8
DMZ Botanic Garden,8
กลุ่มงานวิจัยและพัฒนา สำนักวิชาการ สำนักงานเลขาธิการสภาผู้แทนราษฎร,8
University of Edinburgh. School of GeoSciences. Institute of Geography,8
"ETHZ, IPGP, JPL, ICL, Univ. Bristol",8
nanoHUB,8
South-Ural Botanical Garden-Institute of Ufa Federal Scientific Centre of Russian Academy of Sciences,8
École française de Rome,8
"Department of Biology, Lund University",8
"Instituto de Investigaciones Marinas y Costeras, CONICET-Universidad Nacional de Mar del Plata/Facultad de Ciencias Exactas y Naturales",8
GRUAN Lead Centre (at Deutscher Wetterdienst),8
"USDA-ARS Pollinating Insect-Biology, Management, Systematics Research",8
Papanin Institute for Biology of Inland Waters Russian Academy of Sciences,8
National Institute of Ecology,8
Federal Office of Meteorology and Climatology MeteoSwiss,8
Charles Darwin University,8
Göttingen Academy of Sciences,8
Cranfield Online Research Data (CORD),8
SSHADE/REAP (OSUG Data Center),8
HAW Hamburg,8
RASTOMA: Réseau des Acteurs et professionnels de la Sauvegarde des Tortues Marines en Afrique Centrale,8
"TU Delft, Department Hydraulic Engineering",8
"สถาบันราชภัฏพระนคร,",8
"สถาบันราชภัฏพระนครศรีอยุธยา,",8
"คณะบัญชี มหาวิทยาลัยหอการค้าไทย,",8
SARV: Geoscience Data Repository,8
Kristianstad University,8
Ohio Wesleyan University Museum of Natural History,8
Environmental System Science Data Infrastructure for a Virtual Ecosystem; Environmental Systems Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE),8
test,8
SNO H+,8
Universidade de Brasília,8
Jannis Gottwald,8
University of the Philippines Los Baños Museum of Natural History,8
University of Utah,8
SSHADE/SCOOP (OSUG Data Center),8
Teesside University,8
Herbier National du Gabon,8
Auburn University Museum,8
Institute of the problems of Northern development is a subdivision of Tyumen Scientific Centre SB RAS,8
IPC - RWTH Aachen University,8
Herbier National de Guinée (HNG),8
Cluster of Excellence MATH+,8
University of Florida,8
New Guinea Binatang Research Centre,8
Louisiana State University Museum of Natural Science,8
New Mexico Museum of Natural History and Science,8
Carnegie Museums,8
Kathryn Kalmbach Herbarium (Denver Botanic Gardens),8
"คณะอักษรศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,",8
"Princess Maha Chakri Sirindhorn Natural History Museum  (PSU Museum, Prince of Songkla University, Thailand)",8
Corporación Autónoma Regional del Valle del Cauca,8
Department of Forest Sciences,8
"ภาควิชาอาชีวศึกษา มหาวิทยาลัยเชียงใหม่,",8
Jyväskylä University Museum - The Section of Natural Sciences,8
Biological Survey of Canada,8
National Museum in Prague,8
Spanish National Museum of Natural Sciences (CSIC),8
Universidad de La Salle,8
Isagen,8
Arctos,8
York University,8
British Lichen Society,8
National Trust,8
Illinois Natural History Survey,8
Herbario BCN (CeDocBiV-Univ. de Barcelona),8
"Upper Silesian Museum, Bytom",8
"Danske-Dyr, Condidact",8
Next-Generation Ecosystem Experiments Tropics,8
Asociación de Becarios del Casanare,8
ABC Colombia Somos Territorio,8
Towards a National Collection,8
Tampere University,8
Medizinische Hochschule Hannover,8
Contributions to Discrete Mathematics,8
Ministerio de Ambiente y Desarrollo Sostenible - MADS,8
ULB/LATMOS,8
"TxDOT/AmaTerra Environmental, Inc.",8
INRAE,8
European Commission - Joint Research Centre (JRC),8
Ifremer SIH,8
The University of Edinburgh. School of Engineering,8
University of Music and Performing Arts Vienna,8
Staatsbibliothek zu Berlin - Berlin State Library,8
Service de données UNIL,8
Svenska Gallupinstitutet AB,8
npolar.no,8
"Grupo de Investigación Agua, Clima y Medio Ambiente. Unidad de Geología. Universidad de Alcalá.",8
"Museo de Historia Natural ""Gustavo Orcés V.""",8
Civil Aerospace Medical Institute,8
Hogeschool Windesheim,8
South Pacific Regional Herbarium,8
CSIC - Instituto Pirenaico de Ecolog??a (IPE),8
United States Department of Agriculture,8
Resguardo Indígena Awá Pialapí Pueblo Viejo,8
Earthworm Society of Britain,8
UNSPECIFIED,8
Centro de Estudios Parasitológicos y de Vectores (CEPAVE),8
Örebro University,8
DOE Open Energy Data Initiative (OEDI); Building Science Corporation,8
DOE Open Energy Data Initiative (OEDI); Ibacos Innovation,8
Merit Research Journal of Agricultural Science and Soil Sciences,8
futuremobilitylabTAU,8
The Open University Scholarship Exchange,8
University of Gävle,8
"ภาควิชาปรสิตวิทยา มหาวิทยาลัยขอนแก่น,",8
"คณะวิทยาศาสตร์ มหาวิทยาลัยศิลปากร,",8
Leibniz Institute for the Analysis of Biodiversity Change,8
Science Share Repository,8
"National Museum of Natural History, Bulgarian Academy of Sciences",8
UCL,8
Österreichische Galerie Belvedere,8
